2302	1120	1364	1634	2004
4116	2126	1152	4005	1365
4939	1992	4330	1293	1930
1036	3210	1145	3534	2040
3026	1637	2225	1886	4689
1868	2743	4168	3279	2767
1948	3158	1986	4368	4237
3547	2100	3598	2679	2665
4322	4099	1904	4247	1720
4572	3498	4012	1691	1757
3622	1148	4746	1766	2200
1979	2154	4689	2096	4767
2379	1083	4244	3033	2583
4760	2931	4798	4804	2727
1037	3035	2068	2110	1648
2263	2941	1885	2446	4759
1408	4012	3479	2698	3977
3178	4357	1309	1520	2273
4274	1607	4135	2482	4135
2055	4382	2830	4242	1778
3888	1698	4427	2047	4531
1106	1033	4485	1133	2655
4340	3046	4522	2320	1048
2742	1018	2032	2658	1109
1157	2669	1801	3678	2743
2224	3110	3148	2070	3434
1027	2283	2997	2782	4201
4095	2984	1221	4113	3915
3426	3609	2392	1333	4018
4500	3505	1754	3263	3365
2934	4199	3622	1288	4012
4128	1051	4463	1227	4523
1110	2182	1540	2889	1793
1021	3770	4796	4180	1785
1257	4819	3443	2077	1103
2253	2035	2863	4534	4699
2856	2954	4496	1104	4400
3012	3305	1855	2891	3063
2726	1051	3347	4183	3895
3373	1392	3722	1853	1021
3551	3124	3950	3954	3524
3993	4430	2652	4346	1735
2200	2829	1121	3802	3275
4280	2520	2662	4326	4078
4450	1096	2966	3158	2424
3310	3486	4961	1691	3947
4665	3659	1187	2287	4639
1260	1379	1746	1211	2058
1699	4069	2559	4321	2906
2637	3166	3783	1491	4269
2495	1057	1826	3114	1270
1165	4845	2788	2260	1667
2586	2201	4900	3086	3832
4701	4450	2952	1535	4902
1972	3871	1003	3298	2865
1211	3246	3994	1545	3854
4279	3199	4644	1827	4003
1767	1419	4345	2361	3459
2212	1802	1669	1047	1363
4261	2825	1091	1013	2353
3901	2219	2862	4868	3893
2080	3992	4000	4830	3639
2470	2561	2107	4849	4975
3744	4366	1302	4466	3337
2581	3789	3284	4751	1805
2443	1362	4494	1563	1184
3226	2970	3745	2316	4233
3423	2464	1580	3062	1457
3735	3930	3017	4031	1218
2143	3437	4363	3128	2421
3002	4797	3632	1023	3240
3460	1384	3637	3394	2329
2411	2181	2379	4377	1123
2032	4055	3924	2814	2034
4121	1534	1018	3444	3861
4384	2474	3273	3837	2534
4154	1824	4505	3005	1173
2286	3585	3299	1876	1387
4972	3347	2839	4445	1920
3954	2390	2299	1145	3733
4723	4433	1991	3115	3044
1166	2821	4567	4460	4046
4935	4450	1125	4795	4125
1137	2361	4727	1173	2520
4412	1650	3829	4069	2958
4664	4042	4729	4964	4578
3621	1766	3632	3618	3088
4088	4309	3024	1927	1888
4671	4868	3230	3654	4229
3208	1775	4478	3121	3579
3654	1804	4311	1609	4629
1203	4791	3948	4807	3158
1209	2600	4403	1831	2142
4581	1104	3605	1325	2127
2514	3193	2494	3685	3316
2718	1578	4455	2571	2261
2390	3162	1520	3203	2764
1304	4393	1485	4881	4811
3107	3571	2853	1296	3337
4918	1969	4560	3494	3032
1625	3323	3357	1061	2357
1635	2382	1819	2903	4482
4248	3010	4390	1307	3957
3127	1966	2914	1480	4609
